"V1","V2","V3","V4","V5","V6"
48.0856907415076,42.40963748422,38.1895523817296,34.8871176420969,32.075816099048,29.7150202121983
48.896879844335,42.4009460842995,37.331756844251,33.4817725433291,30.6151557424363,28.3291255044769
48.6036186765567,42.819053776766,38.7579929955329,35.7227743154488,33.3532721597576,31.3819974413859
49.185803382425,41.6479493910805,36.5322056390005,32.7724961733343,29.8370332260683,27.6586152024904
48.4404196482019,43.7546358093637,40.2284364294425,37.3686496421332,34.9700303182302,32.8778653958015
50.0221080146722,42.1903396356615,36.2513462405967,32.0988038832858,28.9641853954763,26.4790909443702
48.0567431088832,41.9241759959863,37.5269905733903,34.1907135735376,31.4997387146145,29.2871925369334
47.8790057622016,44.042124917253,40.8391596984964,38.120421892306,35.7918354764087,33.7785578774277
47.9803801430219,42.2025774664113,38.0086688011478,34.69810001011,31.9827887966294,29.7565142956773
49.6283116354849,43.0923216738273,38.1110396368201,34.1526268091011,30.9595637603672,28.4133745091299
